127.0.0.1 - - [23/Aug/2019:09:11:09 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:11:11 +0530] "GET /InventoryProject/ HTTP/1.1" 200 4938
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:27:13 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5286
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:27:14 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5286
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:27:15 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5286
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:27:15 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5286
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:30:06 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5359
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:30:07 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5359
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:30:07 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5359
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:30:08 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5359
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:30:08 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5359
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:30:10 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5359
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:30:48 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5204
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:30:48 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5204
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:30:48 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5204
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:31:07 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:31:07 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:31:08 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:31:08 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:31:20 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:31:23 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:35:22 +0530] "GET /InventoryProject/ HTTP/1.1" 200 6480
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:36:51 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:43:06 +0530] "GET /InventoryProject/ HTTP/1.1" 200 8951
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:44:35 +0530] "GET /InventoryProject/ HTTP/1.1" 200 6759
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:54:55 +0530] "GET /InventoryProject/ HTTP/1.1" 200 8487
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:55:14 +0530] "GET /InventoryProject/ HTTP/1.1" 200 6295
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:59:20 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:59:21 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:59:21 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:59:22 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:59:22 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:59:22 +0530] "GET /InventoryProject/ HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:00:05 +0530] "GET /InventoryProject/ HTTP/1.1" 200 6498
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:00:06 +0530] "GET /InventoryProject/ HTTP/1.1" 200 6498
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:00:06 +0530] "GET /InventoryProject/ HTTP/1.1" 200 6498
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:00:06 +0530] "GET /InventoryProject/ HTTP/1.1" 200 6498
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:00:06 +0530] "GET /InventoryProject/ HTTP/1.1" 200 6498
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:00:07 +0530] "GET /InventoryProject/ HTTP/1.1" 200 6498
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:01:59 +0530] "GET /InventoryProject/ HTTP/1.1" 200 6814
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:02:54 +0530] "GET /InventoryProject/ HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:02:55 +0530] "GET /InventoryProject/ HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:02:55 +0530] "GET /InventoryProject/ HTTP/1.1" 200 8690
